"maker","series","model","descripcion","referencia"
"Renault","RENAULT/DUSTER (HS)/POLAR","2019","LUZ LARGO ALCANCE D.","VERCODIGONR.0617"
"Renault","RENAULT/DUSTER (HS)/POLAR","2019","LUZ LARGO ALCANCE I.","VERCODIGONR.0617"
"Ford","FORD/ESCAPE (CTC)/TITANIO","2021","JGO.PEG.PANORAM.DEL.","KNGKWI2"
"Ford","FORD/ESCAPE (CTC)/TITANIO","2021","PANORAMICO DEL.","LJ6Z7803100K"
"Ford","FORD/ESCAPE (CTC)/TITANIO","2021","SENSOR DE LLUVIA","LU5Z17D547A"
"Hyundai","HYUNDAI/GRAND I 10 (PB4)/BASICO","2014","ARNES LUZ PORTAPLACA","240307121858860"
"Hyundai","HYUNDAI/GRAND I 10 (PB4)/BASICO","2014","CHAPA TAPA BAUL","81230B4010"
"Hyundai","HYUNDAI/GRAND I 10 (PB4)/BASICO","2014","EMBLEMA FABRIC.TRA.","86341B4000"
"Hyundai","HYUNDAI/GRAND I 10 (PB4)/BASICO","2014","EMBLEMA FABRICANTE","86312B4000"
"Hyundai","HYUNDAI/GRAND I 10 (PB4)/BASICO","2014","EMBLEMA MODELO","86310B4070"
"Hyundai","HYUNDAI/GRAND I 10 (PB4)/BASICO","2014","GUARDAP.PLAST.TRA.D.","85740B4110PYN"
"Hyundai","HYUNDAI/GRAND I 10 (PB4)/BASICO","2014","GUARDAP.PLAST.TRA.I.","85730B4110PYN"
"Hyundai","HYUNDAI/GRAND I 10 (PB4)/BASICO","2014","GUARN.SP.PARAL C D.","85860B4000TXB"
"Hyundai","HYUNDAI/GRAND I 10 (PB4)/BASICO","2014","GUARN.SP.PARAL C I.","85850B4000TXB"
"Hyundai","HYUNDAI/GRAND I 10 (PB4)/BASICO","2014","PARAGOLPES DEL.","86511B4000"
"Hyundai","HYUNDAI/GRAND I 10 (PB4)/BASICO","2014","PARAGOLPES TRA.","86650B4000"
"Hyundai","HYUNDAI/GRAND I 10 (PB4)/BASICO","2014","PISO TRA.","65513B4001"
"Hyundai","HYUNDAI/GRAND I 10 (PB4)/BASICO","2014","REC.EXT.PANEL TRA.","85770B4000PYN"
