"maker";"series";"canonical_series"
"Chevrolet";"/2019/*Activ 1.389";"/2019/*Activ 1.389"
"Chevrolet";"/Npr Furgon 2013/";"/Npr Furgon 2013/"
"Chevrolet";"1.0L Mt 1000Cc";"1.0L Mt 1000Cc"
"Chevrolet";"1.3 Mt 1300Cc Pm";"1.3 Mt 1300Cc Pm"
"Chevrolet";"1.4 L Mt 1400Cc 4P";"1.4 L Mt 1400Cc 4P"
"Chevrolet";"1.5L [Asl] Mt 1500Cc Aa";"1.5L [Asl] Mt 1500Cc Aa"
"Chevrolet";"1.6L At 1600Cc Aa 2Ab Abs";"1.6L At 1600Cc Aa 2Ab Abs"
"Chevrolet";"1.6L Mt 1600Cc 3P";"1.6L Mt 1600Cc 3P"
"Chevrolet";"1.6L Mt 1600Cc Aa 1Ab";"1.6L Mt 1600Cc Aa 1Ab"
"Chevrolet";"1.6L Mt 1600Cc Aa 2Ab Abs";"1.6L Mt 1600Cc Aa 2Ab Abs"
"Chevrolet";"1.6L Mt 1600Cc Sa 1Ab";"1.6L Mt 1600Cc Sa 1Ab"
"Chevrolet";"2.0 L Mt 2000Cc 5P 4X2";"2.0 L Mt 2000Cc 5P 4X2"
"Chevrolet";"2.0 Mt 2000Cc";"2.0 Mt 2000Cc"
"Chevrolet";"2.0 Mt 2000Cc 2P Aa";"2.0 Mt 2000Cc 2P Aa"
"Chevrolet";"2.5L Full Mt 2500Cc 4X4 Td Abs 2Ab";"2.5L Full Mt 2500Cc 4X4 Td Abs 2Ab"
"Chevrolet";"2.5L Mt 2500Cc 4X4 Td Abs 2Ab";"2.5L Mt 2500Cc 4X4 Td Abs 2Ab"
"Chevrolet";"2.5L Mt 2500Cc 4X4 Td Abs 2Ab Aa";"2.5L Mt 2500Cc 4X4 Td Abs 2Ab Aa"
"Chevrolet";"2.5L Mt 2500Cc 4X4 Td Abs 2Ab Pa";"2.5L Mt 2500Cc 4X4 Td Abs 2Ab Pa"
"Chevrolet";"2.5L Mt 2500Cc Td 4X2 2Ab Abs";"2.5L Mt 2500Cc Td 4X2 2Ab Abs"
"Chevrolet";"2.5L Work Mt 2500Cc 4X4 Td Abs 2Ab";"2.5L Work Mt 2500Cc 4X4 Td Abs 2Ab"
"Chevrolet";"240 Mt Td 4X2";"240 Mt Td 4X2"
"Chevrolet";"3.6L Lt Tp 3600Cc 4X4";"3.6L Lt Tp 3600Cc 4X4"
"Chevrolet";"700P Reward [104Hp] Mt 3000Cc Td 4X2 Abs";"700P Reward [104Hp] Mt 3000Cc Td 4X2 Abs"
"Chevrolet";"700P Reward [122Hp] Mt 3000Cc Td 4X2 Abs";"700P Reward [122Hp] Mt 3000Cc Td 4X2 Abs"
"Chevrolet";"Activ Mt 1400Cc 5P 2Ab Abs";"Activ Mt 1400Cc 5P 2Ab Abs"
"Chevrolet";"Advance Mt 1600Cc 4P";"Advance Mt 1600Cc 4P"
"Chevrolet";"Alto";"Alto"
"Chevrolet";"Astra";"Astra"
"Chevrolet";"Aveo";"Aveo"
"Chevrolet";"Aveo Emotion";"Aveo Emotion"
"Chevrolet";"Aveo Emotion 5 Puertas 1.600";"Aveo Emotion 5 Puertas 1.600"
"Chevrolet";"Beat";"Beat"
"Chevrolet";"Blazer";"Blazer"
"Chevrolet";"Brigadier";"Brigadier"
"Chevrolet";"Brigadier Wg-64 Mt/Brigadier Wg-64 Mt/*Brigadier Wg-64 Mt";"Brigadier Wg-64 Mt/Brigadier Wg-64 Mt/*Brigadier Wg-64 Mt"
"Chevrolet";"Brilliance/V5 Deluxe/*Tp 1500Cc 4X2 T";"Brilliance/V5 Deluxe/*Tp 1500Cc 4X2 T"
"Chevrolet";"C70 189 Tbi Mt Gsl/C70 189 Tbi Mt Gsl/*C70 189 Tbi Mt Gsl";"C70 189 Tbi Mt Gsl/C70 189 Tbi Mt Gsl/*C70 189 Tbi Mt Gsl"
"Chevrolet";"Camaro";"Camaro"
"Chevrolet";"Captiva";"Captiva"
"Chevrolet";"Captiva [2]";"Captiva [2]"
"Chevrolet";"Cargo Mt 1200Cc Sa";"Cargo Mt 1200Cc Sa"
"Chevrolet";"Cargo Mt 1200Cc Sa 2Ab Abs";"Cargo Mt 1200Cc Sa 2Ab Abs"
"Chevrolet";"Cargo Plus Mt 1200Cc Aa";"Cargo Plus Mt 1200Cc Aa"
"Chevrolet";"Cargo Plus Mt 1200Cc Aa 2Ab Abs";"Cargo Plus Mt 1200Cc Aa 2Ab Abs"
"Chevrolet";"Changhe Freedom/Changhe Freedom/*Changhe Freedom";"Changhe Freedom/Changhe Freedom/*Changhe Freedom"
"Chevrolet";"Chery Yoya/Yoya 2017/*2017";"Chery Yoya/Yoya 2017/*2017"
"Chevrolet";"Chery/Yoyo/*2023";"Chery/Yoyo/*2023"
"Chevrolet";"Chev-Cobalt-2015/Chev-Cobalt-2015/*Chev-Cobalt-2015";"Chev-Cobalt-2015/Chev-Cobalt-2015/*Chev-Cobalt-2015"
"Chevrolet";"Chev-Traverse-2016/Chev-Traverse-2016/*Chev-Traverse-2016";"Chev-Traverse-2016/Chev-Traverse-2016/*Chev-Traverse-2016"
"Chevrolet";"Chev/Carry/2006/Chev/Carry/2006/*Chev/Carry/2006";"Chev/Carry/2006/Chev/Carry/2006/*Chev/Carry/2006"
"Chevrolet";"Chev/Traverse/2016/Chev/Traverse/2016/*Chev/Traverse/2016";"Chev/Traverse/2016/Chev/Traverse/2016/*Chev/Traverse/2016"
"Chevrolet";"Chevr/Travers/2014/Chevr/Travers/2014/*Chevr/Travers/2014";"Chevr/Travers/2014/Chevr/Travers/2014/*Chevr/Travers/2014"
"Chevrolet";"Chevrc70 149 1983/Chevrc70 149 1983/*Chevrc70 149 1983";"Chevrc70 149 1983/Chevrc70 149 1983/*Chevrc70 149 1983"
"Chevrolet";"Chevreolet Lv150/Lv150 Mod 2014/*Bus";"Chevreolet Lv150/Lv150 Mod 2014/*Bus"
"Chevrolet";"Chevro Cobalt 2015/Chevro Cobalt 2015/*Chevro Cobalt 2015";"Chevro Cobalt 2015/Chevro Cobalt 2015/*Chevro Cobalt 2015"
"Chevrolet";"Chevro Cobalt 2021/Chevro Cobalt 2021/*Chevro Cobalt 2021";"Chevro Cobalt 2021/Chevro Cobalt 2021/*Chevro Cobalt 2021"
"Chevrolet";"Chevro Kodiak 2006/Chevro Kodiak 2006/*Chevro Kodiak 2006";"Chevro Kodiak 2006/Chevro Kodiak 2006/*Chevro Kodiak 2006"
"Chevrolet";"Chevro Kodiak 2009/Chevro Kodiak 2009/*Chevro Kodiak 2009";"Chevro Kodiak 2009/Chevro Kodiak 2009/*Chevro Kodiak 2009"
"Chevrolet";"Chevro Kodiak 7500/Chevro Kodiak 7500/*Chevro Kodiak 7500";"Chevro Kodiak 7500/Chevro Kodiak 7500/*Chevro Kodiak 7500"
"Chevrolet";"Chevro Vivant 2008/Chevro Vivant 2008/*Chevro Vivant 2008";"Chevro Vivant 2008/Chevro Vivant 2008/*Chevro Vivant 2008"
"Chevrolet";"Chevro/Blazer/2019/Chevro/Blazer/2019/*Chevro/Blazer/2019";"Chevro/Blazer/2019/Chevro/Blazer/2019/*Chevro/Blazer/2019"
"Chevrolet";"Chevro/Cobalt/2013/Chevro/Cobalt/2013/*Chevro/Cobalt/2013";"Chevro/Cobalt/2013/Chevro/Cobalt/2013/*Chevro/Cobalt/2013"
"Chevrolet";"Chevro/Trailb/2019/Chevro/Trailb/2019/*Chevro/Trailb/2019";"Chevro/Trailb/2019/Chevro/Trailb/2019/*Chevro/Trailb/2019"
"Chevrolet";"Chevrol Brigad2000/Chevrol Brigad2000/*Chevrol Brigad2000";"Chevrol Brigad2000/Chevrol Brigad2000/*Chevrol Brigad2000"
"Chevrolet";"Chevrol S.Briga 95/Chevrol S.Briga 95/*Chevrol S.Briga 95";"Chevrol S.Briga 95/Chevrol S.Briga 95/*Chevrol S.Briga 95"
"Chevrolet";"Chevrole/Onix/2019/Chevrole/Onix/2019/*Chevrole/Onix/2019";"Chevrole/Onix/2019/Chevrole/Onix/2019/*Chevrole/Onix/2019"
"Chevrolet";"Chevrolet - Onix/2019/";"Chevrolet - Onix/2019/"
"Chevrolet";"Chevrolet Alto/Chevrolet Alto/*Chevrolet Alto";"Chevrolet Alto/Chevrolet Alto/*Chevrolet Alto"
"Chevrolet";"Chevrolet B70 2002/Chevrolet B70 2002/*Chevrolet B70 2002";"Chevrolet B70 2002/Chevrolet B70 2002/*Chevrolet B70 2002"
"Chevrolet";"Chevrolet B70/B70 Bus Mod 2002/*B70 Bus Mod 2002";"Chevrolet B70/B70 Bus Mod 2002/*B70 Bus Mod 2002"
"Chevrolet";"Chevrolet B70/B70 Mod 1998 Bus/*B70 Mod 1998 Bus";"Chevrolet B70/B70 Mod 1998 Bus/*B70 Mod 1998 Bus"
"Chevrolet";"Chevrolet Brigadie/Brigadier Mod 1996/*Brigadier Mod 1996";"Chevrolet Brigadie/Brigadier Mod 1996/*Brigadier Mod 1996"
"Chevrolet";"Chevrolet C30/C30 Mod 1990/*C30 Mod 1990";"Chevrolet C30/C30 Mod 1990/*C30 Mod 1990"
"Chevrolet";"Chevrolet C60/C60 Mod 1986/*C60 Mod 1986";"Chevrolet C60/C60 Mod 1986/*C60 Mod 1986"
"Chevrolet";"Chevrolet C70 1991/Chevrolet C70 1991/*Chevrolet C70 1991";"Chevrolet C70 1991/Chevrolet C70 1991/*Chevrolet C70 1991"
"Chevrolet";"Chevrolet C70/C70 Mod 1988/*C70 Mod 1988";"Chevrolet C70/C70 Mod 1988/*C70 Mod 1988"
"Chevrolet";"Chevrolet C70/Chevrolet C70/*Chevrolet C70";"Chevrolet C70/Chevrolet C70/*Chevrolet C70"
"Chevrolet";"Chevrolet Chevy C2/Chevy C2 Mod 2007/*Chevy C2 Mod 2007";"Chevrolet Chevy C2/Chevy C2 Mod 2007/*Chevy C2 Mod 2007"
"Chevrolet";"Chevrolet Chevy/Chevy Taxi M 2022/*Chevy Taxi M 2022";"Chevrolet Chevy/Chevy Taxi M 2022/*Chevy Taxi M 2022"
"Chevrolet";"Chevrolet Cobalt/Cobalt Ltz/*Ltz";"Chevrolet Cobalt/Cobalt Ltz/*Ltz"
"Chevrolet";"Chevrolet Epica/2004/*Chevrolet Epica";"Chevrolet Epica/2004/*Chevrolet Epica"
"Chevrolet";"Chevrolet Joy 2021/Chevrolet Joy 2021/*Chevrolet Joy 2021";"Chevrolet Joy 2021/Chevrolet Joy 2021/*Chevrolet Joy 2021"
"Chevrolet";"Chevrolet Kodiak/Furgon/*Mt 7200Cc Td 4X2";"Chevrolet Kodiak/Furgon/*Mt 7200Cc Td 4X2"
"Chevrolet";"Chevrolet Kodiak/Kodiak 157/*1997";"Chevrolet Kodiak/Kodiak 157/*1997"
"Chevrolet";"Chevrolet Lv 150/Chevrolet Lv 150/*Chevrolet Lv 150";"Chevrolet Lv 150/Chevrolet Lv 150/*Chevrolet Lv 150"
"Chevrolet";"Chevrolet Lv 150/Lv 150 Mod 2014/*Lv 150 Mod 2014";"Chevrolet Lv 150/Lv 150 Mod 2014/*Lv 150 Mod 2014"
